#
# input files for tcga projects
#
study_id	drugs	followup	nte
blca_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/blca_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_drug_blca.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/blca_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.0_blca.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/blca_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.0_nte_blca.txt
brca_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/brca_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_drug_brca.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/brca_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.0_brca.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/brca_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.0_nte_brca.txt
cesc_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/cesc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_drug_cesc.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/cesc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.0_cesc.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/cesc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.0_nte_cesc.txt
coad_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/coad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_drug_coad.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/coad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v1.0_coad.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/coad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v1.0_nte_coad.txt
hnsc_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/hnsc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_drug_hnsc.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/hnsc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.8_hnsc.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/hnsc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.8_nte_hnsc.txt
#kirc_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/kirc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_drug_kirc.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/kirc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v1.0_kirc.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/kirc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_nte_kirc.txt
lihc_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/lihc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_drug_lihc.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/lihc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.0_lihc.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/lihc_tcga_pub/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.0_nte_lihc.txt
#luad_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/luad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_drug_luad.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/luad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v1.0_luad.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/luad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_nte_luad.txt
ov_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/ov_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_drug_ov.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/ov_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v1.0_ov.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/ov_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v1.0_nte_ov.txt
paad_tcga	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/paad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_drug_paad.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/paad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.4_paad.txt	/Users/jamesc/Dropbox/BRCAness_manuscript_outline/TCGA_clinical_datasets/paad_tcga/Clinical/Biotab/nationwidechildrens.org_clinical_follow_up_v4.4_nte_paad.txt
